RL1,RL2,C1,C2,ENa,EK
5208.376644849449,7060.15487014115,3.304071820231489e-08,9.72099472572474e-09,-1.4624728653776662,1.5372932724539434
6178.7988364962475,4342.665682813,9.05315754739305e-09,9.261891574767522e-10,-1.2973913083873831,1.2970330884633485
4007.1573925470175,5993.971602993585,1.0058697645243495e-09,2.28456864825579e-09,-1.4560726610734758,1.314714368593522
5373.804023146691,4698.981292442575,1.1249808319171977e-08,5.0785410166815236e-09,-1.290683174877873,1.4984425570889428
5437.872791639185,4642.527562987818,3.979421911871967e-09,7.199006769850301e-10,-1.181278187761544,1.4045262182026241
6995.535817052667,7418.286752779,1.897448018249999e-08,9.89033520591577e-10,-1.1686371472533805,1.5167662902910712
5344.268387067399,5610.321134003141,4.922638918315583e-08,2.6154066775692775e-09,-1.3873858380146127,1.5313288943567251
4287.094127672922,6170.814238578307,1.2079871904575095e-08,7.658092079776989e-09,-1.1110325286601608,1.5604443180757324
5171.999660149806,8231.103487047641,1.7942585832014508e-08,7.33063279602031e-09,-1.2455968121438505,1.2218270876198254
5949.249626334338,7471.761735370332,1.8288374668839326e-08,6.408165729605757e-10,-1.131460609535063,1.4322098250699942
5627.839794805352,8621.987014196722,5.457730447381864e-09,2.9908442525140464e-09,-1.5021105985311838,1.1993106946054966
4769.053322273736,8732.212383466518,7.76572021749732e-09,1.4097987970894445e-09,-1.44647128809382,1.5051545690349126
4174.196693372386,4246.815611212893,1.5172956810719695e-09,9.36115735292947e-09,-1.2124290087288214,1.1872850898864424
4977.908076061549,5274.933443067425,6.698961133926177e-09,8.767382078058086e-09,-1.1257535770635927,1.361004999015254
6420.775368845773,7383.941489827677,8.824543981172484e-09,2.1488463284918612e-09,-1.2738450519880713,1.4770278189489172
6320.072094144272,8195.796188723849,7.426590020850019e-09,4.986918955676696e-09,-1.3749929279697986,1.427836558970075
4065.596526628606,5008.073452133048,6.114252420202713e-09,8.992128791885294e-09,-1.1222341588466338,1.4545504944721965
